feature,group,dtype,unique_values,missing_values
sidechainlevel.features.num_atoms_sidechainfeaturizer_sum,sidechain,int64,79,0
sidechainlevel.features.num_atoms_sidechainfeaturizer_mean,sidechain,float64,134,0
sidechainlevel.features.num_atoms_sidechainfeaturizer_max,sidechain,int64,66,0
sidechainlevel.features.num_atoms_sidechainfeaturizer_min,sidechain,int64,64,0
sidechainlevel.features.numsidechainfeaturizer,sidechain,int64,9,0
sidechainlevel.features.sidechainlength_to_star_attachment_distance_ratio_mean,sidechain,float64,796,0
sidechainlevel.features.sidechainlength_to_star_attachment_distance_ratio_min,sidechain,float64,242,0
sidechainlevel.features.sidechainlength_to_star_attachment_distance_ratio_max,sidechain,float64,237,0
sidechainlevel.features.sidechainlength_to_star_attachment_distance_ratio_sum,sidechain,float64,771,0
sidechainlevel.features.star_to_sidechain_min_distance_mean,sidechain,float64,113,0
sidechainlevel.features.star_to_sidechain_min_distance_min,sidechain,int64,25,0
sidechainlevel.features.star_to_sidechain_min_distance_max,sidechain,int64,27,0
sidechainlevel.features.star_to_sidechain_min_distance_sum,sidechain,int64,61,0
sidechainlevel.features.num_diverse_sidechains,sidechain,int64,4,0
sidechainlevel.features.balaban_j_index_sidechainfeaturizer_sum,sidechain,float64,1721,0
sidechainlevel.features.num_hbond_donors_sidechainfeaturizer_sum,sidechain,int64,8,0
sidechainlevel.features.num_hbond_acceptors_sidechainfeaturizer_sum,sidechain,int64,21,0
sidechainlevel.features.num_rotatable_bonds_sidechainfeaturizer_sum,sidechain,int64,45,0
sidechainlevel.features.num_rings_sidechainfeaturizer_sum,sidechain,int64,11,0
sidechainlevel.features.num_non_aromatic_rings_sidechainfeaturizer_sum,sidechain,int64,7,0
sidechainlevel.features.num_aromatic_rings_sidechainfeaturizer_sum,sidechain,int64,11,0
sidechainlevel.features.topological_surface_area_sidechainfeaturizer_sum,sidechain,float64,361,0
sidechainlevel.features.fraction_bicyclic_rings_sidechainfeaturizer_sum,sidechain,float64,14,0
sidechainlevel.features.num_aliphatic_heterocycles_sidechainfeaturizer_sum,sidechain,int64,6,0
sidechainlevel.features.slogp_vsa1_sidechainfeaturizer_sum,sidechain,float64,55,0
sidechainlevel.features.molecular_weight_sidechainfeaturizer_sum,sidechain,float64,1640,0
sidechainlevel.features.sp3_carbon_count_sidechainfeaturizer_sum,sidechain,int64,56,0
sidechainlevel.features.sp2_carbon_count_sidechainfeaturizer_sum,sidechain,int64,52,0
sidechainlevel.features.max_estate_index_sidechainfeaturizer_sum,sidechain,float64,1992,0
sidechainlevel.features.smr_vsa5_sidechainfeaturizer_sum,sidechain,float64,526,0
sidechainlevel.features.fp_density_morgan1_sidechainfeaturizer_sum,sidechain,float64,595,0
sidechainlevel.features.total_halogens_sidechainfeaturizer_sum,sidechain,int64,24,0
sidechainlevel.features.fluorine_count_sidechainfeaturizer_sum,sidechain,int64,24,0
sidechainlevel.features.chlorine_count_sidechainfeaturizer_sum,sidechain,int64,6,0
sidechainlevel.features.bromine_count_sidechainfeaturizer_sum,sidechain,int64,6,0
sidechainlevel.features.single_bonds_sidechainfeaturizer_sum,sidechain,int64,58,0
sidechainlevel.features.double_bonds_sidechainfeaturizer_sum,sidechain,int64,12,0
sidechainlevel.features.triple_bonds_sidechainfeaturizer_sum,sidechain,int64,7,0
sidechainlevel.features.bridging_rings_count_sidechainfeaturizer_sum,sidechain,int64,7,0
sidechainlevel.features.max_ring_size_sidechainfeaturizer_sum,sidechain,int64,20,0
sidechainlevel.features.heteroatom_density_sidechainfeaturizer_sum,sidechain,float64,379,0
sidechainlevel.features.heteroatom_count_sidechainfeaturizer_sum,sidechain,int64,33,0
backbonelevel.features.num_atoms_sum_backbonefeaturizer,backbone,int64,93,0
backbonelevel.features.balaban_j_index_sum_backbonefeaturizer,backbone,float64,4029,0
backbonelevel.features.num_hbond_donors_sum_backbonefeaturizer,backbone,int64,7,0
backbonelevel.features.num_hbond_acceptors_sum_backbonefeaturizer,backbone,int64,17,0
backbonelevel.features.num_rotatable_bonds_sum_backbonefeaturizer,backbone,int64,37,0
backbonelevel.features.num_rings_sum_backbonefeaturizer,backbone,int64,16,0
backbonelevel.features.num_non_aromatic_rings_sum_backbonefeaturizer,backbone,int64,7,0
backbonelevel.features.num_aromatic_rings_sum_backbonefeaturizer,backbone,int64,14,0
backbonelevel.features.topological_surface_area_sum_backbonefeaturizer,backbone,float64,634,0
backbonelevel.features.fraction_bicyclic_rings_sum_backbonefeaturizer,backbone,float64,32,0
backbonelevel.features.num_aliphatic_heterocycles_sum_backbonefeaturizer,backbone,int64,7,0
backbonelevel.features.slogp_vsa1_sum_backbonefeaturizer,backbone,float64,363,0
backbonelevel.features.molecular_weight_sum_backbonefeaturizer,backbone,float64,3108,0
backbonelevel.features.sp3_carbon_count_sum_backbonefeaturizer,backbone,int64,37,0
backbonelevel.features.sp2_carbon_count_sum_backbonefeaturizer,backbone,int64,87,0
backbonelevel.features.max_estate_index_sum_backbonefeaturizer,backbone,float64,4639,0
backbonelevel.features.smr_vsa5_sum_backbonefeaturizer,backbone,float64,664,0
backbonelevel.features.fp_density_morgan1_sum_backbonefeaturizer,backbone,float64,713,0
backbonelevel.features.total_halogens_sum_backbonefeaturizer,backbone,int64,16,0
backbonelevel.features.fluorine_count_sum_backbonefeaturizer,backbone,int64,17,0
backbonelevel.features.chlorine_count_sum_backbonefeaturizer,backbone,int64,7,0
backbonelevel.features.bromine_count_sum_backbonefeaturizer,backbone,int64,4,0
backbonelevel.features.single_bonds_sum_backbonefeaturizer,backbone,int64,50,0
backbonelevel.features.double_bonds_sum_backbonefeaturizer,backbone,int64,13,0
backbonelevel.features.triple_bonds_sum_backbonefeaturizer,backbone,int64,7,0
backbonelevel.features.bridging_rings_count_sum_backbonefeaturizer,backbone,int64,8,0
backbonelevel.features.max_ring_size_sum_backbonefeaturizer,backbone,int64,6,0
backbonelevel.features.heteroatom_density_sum_backbonefeaturizer,backbone,float64,436,0
backbonelevel.features.heteroatom_count_sum_backbonefeaturizer,backbone,int64,28,0
fullpolymerlevel.features.balaban_j_index_sum_fullpolymerfeaturizer,fullpolymer,float64,6581,0
fullpolymerlevel.features.num_hbond_donors_sum_fullpolymerfeaturizer,fullpolymer,int64,8,0
fullpolymerlevel.features.num_hbond_acceptors_sum_fullpolymerfeaturizer,fullpolymer,int64,26,0
fullpolymerlevel.features.num_rotatable_bonds_sum_fullpolymerfeaturizer,fullpolymer,int64,54,0
fullpolymerlevel.features.num_rings_sum_fullpolymerfeaturizer,fullpolymer,int64,19,0
fullpolymerlevel.features.num_non_aromatic_rings_sum_fullpolymerfeaturizer,fullpolymer,int64,10,0
fullpolymerlevel.features.num_aromatic_rings_sum_fullpolymerfeaturizer,fullpolymer,int64,18,0
fullpolymerlevel.features.topological_surface_area_sum_fullpolymerfeaturizer,fullpolymer,float64,1116,0
fullpolymerlevel.features.fraction_bicyclic_rings_sum_fullpolymerfeaturizer,fullpolymer,float64,45,0
fullpolymerlevel.features.num_aliphatic_heterocycles_sum_fullpolymerfeaturizer,fullpolymer,int64,7,0
fullpolymerlevel.features.slogp_vsa1_sum_fullpolymerfeaturizer,fullpolymer,float64,482,0
fullpolymerlevel.features.molecular_weight_sum_fullpolymerfeaturizer,fullpolymer,float64,5266,0
fullpolymerlevel.features.sp3_carbon_count_sum_fullpolymerfeaturizer,fullpolymer,int64,61,0
fullpolymerlevel.features.sp2_carbon_count_sum_fullpolymerfeaturizer,fullpolymer,int64,102,0
fullpolymerlevel.features.max_estate_index_sum_fullpolymerfeaturizer,fullpolymer,float64,7314,0
fullpolymerlevel.features.smr_vsa5_sum_fullpolymerfeaturizer,fullpolymer,float64,1449,0
fullpolymerlevel.features.fp_density_morgan1_sum_fullpolymerfeaturizer,fullpolymer,float64,1004,0
fullpolymerlevel.features.total_halogens_sum_fullpolymerfeaturizer,fullpolymer,int64,31,0
fullpolymerlevel.features.fluorine_count_sum_fullpolymerfeaturizer,fullpolymer,int64,31,0
fullpolymerlevel.features.chlorine_count_sum_fullpolymerfeaturizer,fullpolymer,int64,9,0
fullpolymerlevel.features.bromine_count_sum_fullpolymerfeaturizer,fullpolymer,int64,6,0
fullpolymerlevel.features.single_bonds_sum_fullpolymerfeaturizer,fullpolymer,int64,71,0
