feature_1,feature_2,correlation
sidechainlevel.features.sidechainlength_to_star_attachment_distance_ratio_mean,sidechainlevel.features.sidechainlength_to_star_attachment_distance_ratio_min,0.9958022512276046
backbonelevel.features.num_atoms_sum_backbonefeaturizer,backbonelevel.features.molecular_weight_sum_backbonefeaturizer,0.9949324405000206
sidechainlevel.features.total_halogens_sidechainfeaturizer_sum,sidechainlevel.features.fluorine_count_sidechainfeaturizer_sum,0.9937702091892605
sidechainlevel.features.sidechainlength_to_star_attachment_distance_ratio_mean,sidechainlevel.features.sidechainlength_to_star_attachment_distance_ratio_max,0.992801881987429
sidechainlevel.features.num_atoms_sidechainfeaturizer_sum,sidechainlevel.features.molecular_weight_sidechainfeaturizer_sum,0.9922810167023478
sidechainlevel.features.num_atoms_sidechainfeaturizer_mean,sidechainlevel.features.num_atoms_sidechainfeaturizer_min,0.9910644988672224
fullpolymerlevel.features.total_halogens_sum_fullpolymerfeaturizer,fullpolymerlevel.features.fluorine_count_sum_fullpolymerfeaturizer,0.9866836976326111
sidechainlevel.features.num_atoms_sidechainfeaturizer_mean,sidechainlevel.features.num_atoms_sidechainfeaturizer_max,0.9854826131728898
sidechainlevel.features.sidechainlength_to_star_attachment_distance_ratio_min,sidechainlevel.features.sidechainlength_to_star_attachment_distance_ratio_max,0.9783184566614375
backbonelevel.features.num_rings_sum_backbonefeaturizer,backbonelevel.features.sp2_carbon_count_sum_backbonefeaturizer,0.9701152739469836
sidechainlevel.features.star_to_sidechain_min_distance_mean,sidechainlevel.features.star_to_sidechain_min_distance_max,0.963563635489795
backbonelevel.features.num_aromatic_rings_sum_backbonefeaturizer,backbonelevel.features.sp2_carbon_count_sum_backbonefeaturizer,0.9627693151536199
backbonelevel.features.num_aliphatic_heterocycles_sum_backbonefeaturizer,fullpolymerlevel.features.num_aliphatic_heterocycles_sum_fullpolymerfeaturizer,0.9615119511437206
backbonelevel.features.num_atoms_sum_backbonefeaturizer,backbonelevel.features.sp2_carbon_count_sum_backbonefeaturizer,0.9604064119712856
backbonelevel.features.num_rings_sum_backbonefeaturizer,backbonelevel.features.num_aromatic_rings_sum_backbonefeaturizer,0.9594913598136068
fullpolymerlevel.features.num_aromatic_rings_sum_fullpolymerfeaturizer,fullpolymerlevel.features.sp2_carbon_count_sum_fullpolymerfeaturizer,0.9565212139975832
backbonelevel.features.total_halogens_sum_backbonefeaturizer,backbonelevel.features.fluorine_count_sum_backbonefeaturizer,0.955867898130848
sidechainlevel.features.num_atoms_sidechainfeaturizer_max,sidechainlevel.features.num_atoms_sidechainfeaturizer_min,0.9555884360807607
fullpolymerlevel.features.num_rings_sum_fullpolymerfeaturizer,fullpolymerlevel.features.sp2_carbon_count_sum_fullpolymerfeaturizer,0.9555480474760064
sidechainlevel.features.numsidechainfeaturizer,sidechainlevel.features.balaban_j_index_sidechainfeaturizer_sum,0.9533669876057649
