Rank,Feature,Mean_Abs_SHAP
1,fullpolymerlevel.features.num_rings_sum_fullpolymerfeaturizer,40.178627
2,fullpolymerlevel.features.num_rotatable_bonds_sum_fullpolymerfeaturizer,23.542814
3,backbonelevel.features.num_rings_sum_backbonefeaturizer,12.259884
4,fullpolymerlevel.features.num_hbond_donors_sum_fullpolymerfeaturizer,6.305938
5,backbonelevel.features.sp2_carbon_count_sum_backbonefeaturizer,6.11683
6,backbonelevel.features.num_hbond_donors_sum_backbonefeaturizer,5.8850365
7,backbonelevel.features.num_rotatable_bonds_sum_backbonefeaturizer,5.592576
8,fullpolymerlevel.features.sp3_carbon_count_sum_fullpolymerfeaturizer,4.2718983
9,fullpolymerlevel.features.sp2_carbon_count_sum_fullpolymerfeaturizer,3.4530442
10,backbonelevel.features.heteroatom_density_sum_backbonefeaturizer,3.3511815
11,backbonelevel.features.slogp_vsa1_sum_backbonefeaturizer,3.1856098
12,fullpolymerlevel.features.topological_surface_area_sum_fullpolymerfeaturizer,3.120397
13,fullpolymerlevel.features.fraction_bicyclic_rings_sum_fullpolymerfeaturizer,3.1014977
14,backbonelevel.features.max_estate_index_sum_backbonefeaturizer,2.840305
15,backbonelevel.features.topological_surface_area_sum_backbonefeaturizer,2.64951
16,fullpolymerlevel.features.balaban_j_index_sum_fullpolymerfeaturizer,2.6382535
17,backbonelevel.features.sp3_carbon_count_sum_backbonefeaturizer,2.503001
18,fullpolymerlevel.features.max_estate_index_sum_fullpolymerfeaturizer,2.286712
19,fullpolymerlevel.features.max_ring_size_sum_fullpolymerfeaturizer,2.2631187
20,backbonelevel.features.num_hbond_acceptors_sum_backbonefeaturizer,1.8242642
